transaction_id,user_id,timestamp,amount,location_city,distance_from_home_km,device_id,transaction_type,merchant_category,is_fraud,hour,day_of_week,is_weekend,transaction_type_encoded,merchant_category_encoded,location_city_encoded,device_id_encoded,user_avg_amount,amount_ratio_to_avg,amount_zscore,user_tx_count,time_diff_minutes,is_rapid_tx,high_distance_flag,is_night_tx
TXN_004682,USR_0001,2026-01-01 06:33:33,12.88,London,1.93,DEV_079,POS,Transfer,0,6,3,0,2,4,1,78,137.21826530612245,0.09386504801394568,-0.3123519506462863,98,9999.0,0,0,0
TXN_007399,USR_0001,2026-01-03 04:52:04,157.23,London,5.7,DEV_001,POS,Utilities,0,4,5,1,2,6,1,0,137.21826530612245,1.1458386257168227,0.05027176752111908,98,2778.516666666667,0,0,1
TXN_003304,USR_0001,2026-01-04 08:18:38,50.12,London,5.29,DEV_001,ATM,Luxury,0,8,6,1,0,3,1,0,137.21826530612245,0.3652574694455712,-0.21880080922228784,98,1646.5666666666666,0,0,0
TXN_009066,USR_0001,2026-01-04 09:36:37,136.53,London,32.03,DEV_001,Online,Electronics,0,9,6,1,1,0,1,0,137.21826530612245,0.9949840842658387,-0.001729001208117415,98,77.98333333333333,0,0,0
TXN_005454,USR_0001,2026-01-04 12:06:55,15.06,Mumbai,2.34,DEV_059,Online,Travel,0,12,6,1,1,5,2,58,137.21826530612245,0.10975214464984642,-0.3068755411859126,98,150.3,0,0,0
TXN_008499,USR_0001,2026-01-05 13:21:17,191.51,London,1.6,DEV_041,Online,Luxury,0,13,0,0,1,3,1,40,137.21826530612245,1.3956595764868582,0.13638705022827985,98,1514.3666666666666,0,0,0
TXN_002033,USR_0001,2026-01-05 16:33:54,630.2,Tokyo,4940.41,DEV_140,Online,Electronics,1,16,0,0,1,0,6,139,137.21826530612245,4.592682706396628,1.2384265301233897,98,192.61666666666667,0,1,0
TXN_006866,USR_0001,2026-01-05 20:22:09,137.06,London,9.21,DEV_020,Online,Transfer,0,20,0,0,1,4,1,19,137.21826530612245,0.9988465435397046,-0.00039758055949444803,98,228.25,0,0,0
TXN_006312,USR_0001,2026-01-08 15:27:23,17.78,London,2.16,DEV_001,POS,Gaming,0,15,3,0,2,1,1,0,137.21826530612245,0.1295745771496859,-0.3000425899326023,98,4025.233333333333,0,0,0
TXN_002909,USR_0001,2026-01-08 21:58:53,132.2,London,2.44,DEV_001,Online,Gaming,0,21,3,0,1,1,1,0,137.21826530612245,0.963428520764256,-0.012606456695923926,98,391.5,0,0,0
TXN_005806,USR_0001,2026-01-09 04:41:46,219.64,London,4.17,DEV_001,POS,Electronics,0,4,4,0,2,0,1,0,137.21826530612245,1.6006614243620363,0.2070528291825515,98,402.8833333333333,0,0,1
TXN_009755,USR_0001,2026-01-09 18:32:54,120.13,London,15.38,DEV_001,POS,Luxury,0,18,4,0,2,3,1,0,137.21826530612245,0.8754664765462185,-0.04292767788248839,98,831.1333333333333,0,0,0
TXN_005463,USR_0001,2026-01-10 04:55:18,46.07,Tokyo,13.79,DEV_144,ATM,Grocery,0,4,5,1,0,2,6,143,137.21826530612245,0.33574245046603085,-0.2289748726693124,98,622.4,0,0,1
TXN_000360,USR_0001,2026-01-10 06:44:09,248.17,London,0.14,DEV_001,Online,Grocery,0,6,5,1,1,2,1,0,137.21826530612245,1.8085783358401317,0.2787234539093688,98,108.85,0,0,0
TXN_005587,USR_0001,2026-01-10 07:42:47,42.61,London,0.74,DEV_001,POS,Utilities,0,7,5,1,2,6,1,0,137.21826530612245,0.31052715030079386,-0.2376667886018321,98,58.63333333333333,0,0,0
TXN_000401,USR_0001,2026-01-10 21:06:45,21.37,London,0.37,DEV_001,ATM,Transfer,0,21,5,1,0,4,1,0,137.21826530612245,0.15573727298587106,-0.29102409912400523,98,803.9666666666667,0,0,0
TXN_000322,USR_0001,2026-01-11 20:27:15,17.17,London,2.55,DEV_001,POS,Travel,0,20,6,1,2,5,1,0,137.21826530612245,0.1251291051552366,-0.3015749797357344,98,1400.5,0,0,0
TXN_004722,USR_0001,2026-01-12 06:04:15,173.52,London,0.35,DEV_001,POS,Gaming,0,6,0,0,2,1,1,0,137.21826530612245,1.2645545909456408,0.09119411160804004,98,577.0,0,0,0
TXN_002451,USR_0001,2026-01-12 10:07:11,131.59,London,5.17,DEV_001,Online,Travel,0,10,0,0,1,5,1,0,137.21826530612245,0.9589830487698068,-0.01413884649905598,98,242.93333333333334,0,0,0
TXN_006739,USR_0001,2026-01-13 05:39:43,146.15,London,14.21,DEV_001,Online,Travel,0,5,1,0,1,5,1,0,137.21826530612245,1.0650913639160062,0.022437539621605076,98,1172.5333333333333,0,0,1
TXN_005504,USR_0001,2026-01-13 10:17:24,128.07,London,7.88,DEV_001,POS,Travel,0,10,1,0,2,5,1,0,137.21826530612245,0.9333304890641322,-0.02298148929745758,98,277.68333333333334,0,0,0
TXN_009576,USR_0001,2026-01-16 18:11:19,70.76,London,9.37,DEV_001,ATM,Electronics,0,18,4,0,0,0,1,0,137.21826530612245,0.5156747513561177,-0.16695076735893316,98,4793.916666666667,0,0,0
TXN_006098,USR_0001,2026-01-16 19:37:05,38.96,London,2.21,DEV_009,POS,Luxury,0,19,4,0,2,3,1,8,137.21826530612245,0.28392719492417107,-0.246836006276311,98,85.76666666666667,0,0,0
TXN_008625,USR_0001,2026-01-20 00:35:53,29.67,London,20.17,DEV_001,Online,Transfer,0,0,1,0,1,4,1,0,137.21826530612245,0.21622484274641057,-0.2701735493436833,98,4618.8,0,0,1
TXN_009120,USR_0001,2026-01-20 00:54:06,404.13,Sydney,3474.63,DEV_087,Online,Luxury,1,0,1,0,1,3,5,86,137.21826530612245,2.9451616346176914,0.6705128206249111,98,18.216666666666665,0,1,1
TXN_008870,USR_0001,2026-01-20 15:52:19,746.22,Berlin,1735.6,DEV_101,Wire Transfer,Gaming,1,15,1,0,3,1,0,100,137.21826530612245,5.438196904422869,1.5298820464502505,98,898.2166666666667,0,1,0
TXN_004326,USR_0001,2026-01-21 16:51:09,45.4,London,4.89,DEV_009,POS,Gaming,0,16,2,0,2,1,1,8,137.21826530612245,0.3308597189311439,-0.23065798933832632,98,1498.8333333333333,0,0,0
TXN_007845,USR_0001,2026-01-22 06:50:42,77.4,London,10.08,DEV_001,Online,Electronics,0,6,3,0,1,0,1,0,137.21826530612245,0.5640648071645493,-0.15027032753467565,98,839.55,0,0,0
TXN_003216,USR_0001,2026-01-22 20:33:34,99.61,London,8.5,DEV_001,ATM,Gaming,0,20,3,0,0,1,1,0,137.21826530612245,0.7259237137165473,-0.09447626601407937,98,822.8666666666667,0,0,0
TXN_005982,USR_0001,2026-01-24 12:49:22,33.54,London,0.62,DEV_001,POS,Grocery,0,12,5,1,2,2,1,0,137.21826530612245,0.24442808310463804,-0.26045166649430435,98,2415.8,0,0,0
TXN_006931,USR_0001,2026-01-25 04:59:19,10.8,London,5.41,DEV_001,Online,Gaming,0,4,6,1,1,1,1,0,137.21826530612245,0.07870671727877433,-0.3175771486635236,98,969.95,0,0,1
TXN_007387,USR_0001,2026-01-27 08:40:42,76.72,London,0.87,DEV_001,POS,Luxury,0,8,1,0,2,3,1,0,137.21826530612245,0.5591091990395894,-0.15197856534800325,98,3101.383333333333,0,0,0
TXN_004970,USR_0001,2026-01-28 03:50:35,39.69,London,0.32,DEV_001,POS,Gaming,0,3,2,0,2,1,1,0,137.21826530612245,0.2892471859994956,-0.24500216274141523,98,1149.8833333333334,0,0,1
TXN_000411,USR_0001,2026-01-28 19:33:53,3883.0,Berlin,3543.81,DEV_064,Online,Luxury,1,19,2,0,1,3,0,63,137.21826530612245,28.297979925322288,9.40983235246448,98,943.3,0,1,0
TXN_005431,USR_0001,2026-01-29 23:43:43,72.95,London,9.6,DEV_001,POS,Luxury,0,23,3,0,2,3,1,0,137.21826530612245,0.5316347245820914,-0.16144923675424583,98,1689.8333333333333,0,0,1
TXN_003917,USR_0001,2026-01-31 01:16:17,24.55,London,11.22,DEV_001,POS,Grocery,0,1,5,1,2,2,1,0,137.21826530612245,0.17891202862906572,-0.28303557523226747,98,1532.5666666666666,0,0,1
TXN_004955,USR_0001,2026-02-01 04:21:51,131.27,London,3.01,DEV_001,Wire Transfer,Travel,0,4,6,1,3,5,1,0,137.21826530612245,0.9566509978874728,-0.01494272311709247,98,1625.5666666666666,0,0,1
TXN_004503,USR_0001,2026-02-02 04:17:31,118.95,London,4.94,DEV_001,Wire Transfer,Transfer,0,4,0,0,3,4,1,0,137.21826530612245,0.8668670389176116,-0.04589197291149799,98,1435.6666666666667,0,0,1
TXN_005164,USR_0001,2026-02-03 10:00:59,101.52,London,3.58,DEV_001,Online,Utilities,0,10,1,0,1,6,1,0,137.21826530612245,0.7398431424204787,-0.08967812745017398,98,1783.4666666666667,0,0,0
TXN_005522,USR_0001,2026-02-05 16:27:14,140.88,London,1.03,DEV_114,Online,Travel,0,16,3,0,1,5,1,113,137.21826530612245,1.0266854009475672,0.009198696568316332,98,3266.25,0,0,0
TXN_009549,USR_0001,2026-02-05 20:43:37,138.2,London,0.19,DEV_001,POS,Electronics,0,20,3,0,2,0,1,0,137.21826530612245,1.0071544748080195,0.0024662298922605726,98,256.3833333333333,0,0,0
TXN_003375,USR_0001,2026-02-05 23:47:44,207.43,New York,5.38,DEV_001,Online,Travel,0,23,3,0,1,5,3,0,137.21826530612245,1.5116791078829777,0.1763799119755961,98,184.11666666666667,0,0,1
TXN_002760,USR_0001,2026-02-06 05:47:46,75.3,London,0.14,DEV_001,ATM,Grocery,0,5,4,0,0,2,1,0,137.21826530612245,0.5487607232492321,-0.15554576784054025,98,360.03333333333336,0,0,1
TXN_002180,USR_0001,2026-02-09 06:07:08,19.54,London,0.08,DEV_001,Online,Travel,0,6,0,0,1,5,1,0,137.21826530612245,0.14240085700252317,-0.29562126853340154,98,4339.366666666667,0,0,0
TXN_009629,USR_0001,2026-02-10 20:28:46,41.41,London,9.57,DEV_001,POS,Luxury,0,20,1,0,2,3,1,0,137.21826530612245,0.3017819594920412,-0.24068132591946903,98,2301.633333333333,0,0,0
TXN_006913,USR_0001,2026-02-11 17:30:07,105.86,London,1.32,DEV_001,POS,Gaming,0,17,2,0,2,1,1,0,137.21826530612245,0.7714715825121342,-0.07877555081805385,98,1261.35,0,0,0
TXN_004551,USR_0001,2026-02-11 18:23:06,64.61,London,0.54,DEV_001,POS,Luxury,0,18,2,0,2,3,1,0,137.21826530612245,0.4708556484612601,-0.18240027111182228,98,52.983333333333334,0,0,0
TXN_005619,USR_0001,2026-02-11 21:40:21,22.83,London,7.86,DEV_001,ATM,Travel,0,21,2,0,0,5,1,0,137.21826530612245,0.16637725513652016,-0.2873564120542137,98,197.25,0,0,0
TXN_005837,USR_0001,2026-02-12 15:13:22,98.86,Mumbai,0.27,DEV_001,Online,Electronics,0,15,3,0,1,0,2,0,137.21826530612245,0.7204579694610768,-0.09636035183760243,98,1053.0166666666667,0,0,0
TXN_008000,USR_0001,2026-02-13 14:27:32,61.81,London,4.66,DEV_001,ATM,Utilities,0,14,4,0,0,6,1,0,137.21826530612245,0.4504502032408371,-0.18943419151964172,98,1394.1666666666667,0,0,0
TXN_000092,USR_0001,2026-02-14 01:21:43,13.2,London,7.61,DEV_001,POS,Luxury,0,1,5,1,2,3,1,0,137.21826530612245,0.09619709889627973,-0.3115480740282498,98,654.1833333333333,0,0,1
TXN_008065,USR_0001,2026-02-14 03:41:05,77.29,London,0.43,DEV_001,POS,Luxury,0,3,5,1,2,3,1,0,137.21826530612245,0.563263164673747,-0.1505466601221257,98,139.36666666666667,0,0,1
TXN_000483,USR_0001,2026-02-14 15:03:18,305.74,London,4.27,DEV_001,ATM,Travel,0,15,5,1,0,5,1,0,137.21826530612245,2.228128864890043,0.42334588172299914,98,682.2166666666667,0,0,0
TXN_002969,USR_0001,2026-02-16 03:42:50,23.43,London,9.18,DEV_001,Online,Transfer,0,3,0,0,1,4,1,0,137.21826530612245,0.17074985054089653,-0.2858491433953952,98,2199.5333333333333,0,0,1
TXN_000041,USR_0001,2026-02-17 00:35:58,61.79,London,6.27,DEV_001,Wire Transfer,Travel,0,0,1,0,3,5,1,0,137.21826530612245,0.45030445006069125,-0.18948443380826901,98,1253.1333333333334,0,0,1
TXN_009766,USR_0001,2026-02-18 14:24:32,55.09,London,0.04,DEV_001,Online,Travel,0,14,2,0,1,5,1,0,137.21826530612245,0.401477134711822,-0.20631560049840836,98,2268.5666666666666,0,0,0
TXN_007893,USR_0001,2026-02-19 03:19:54,20.22,London,7.81,DEV_001,Online,Transfer,0,3,3,0,1,4,1,0,137.21826530612245,0.14735646512748304,-0.29391303072007396,98,775.3666666666667,0,0,1
TXN_000180,USR_0001,2026-02-20 12:20:06,22.9,London,0.46,DEV_001,POS,Gaming,0,12,4,0,2,1,1,0,137.21826530612245,0.16688739126703073,-0.2871805640440182,98,1980.2,0,0,0
TXN_008570,USR_0001,2026-02-22 14:00:15,69.63,London,1.58,DEV_001,Wire Transfer,Luxury,0,14,6,1,3,3,1,0,137.21826530612245,0.5074396966778756,-0.1697894566663746,98,2980.15,0,0,0
TXN_007469,USR_0001,2026-02-22 22:38:09,166.5,London,5.46,DEV_001,Online,Luxury,0,22,6,1,1,3,1,0,137.21826530612245,1.2133952247144375,0.07355906829986415,98,517.9,0,0,0
